actual,predicted,error
0.00604,-0.33196375135986855,0.33800375135986854
0.0417,-0.33196375135986855,0.37366375135986857
0.01268,0.30781595125052874,-0.2951359512505287
0.01807,0.30781595125052874,-0.28974595125052877
0.00779,0.25791923582270826,-0.25012923582270824
0.01282,0.24413435398902195,-0.23131435398902195
0.01429,0.24413435398902195,-0.22984435398902195
0.07825,0.28132940063985323,-0.20307940063985325
0.00407,-0.022083417301944852,0.026153417301944853
0.00835,-0.022083417301944852,0.030433417301944852
0.00835,-0.022083417301944852,0.030433417301944852
0.0246,-0.022083417301944852,0.04668341730194485
0.00251,-0.21163661612186146,0.21414661612186148
0.00251,-0.21163661612186146,0.21414661612186148
0.00579,-0.21163661612186146,0.21742661612186145
0.00733,-0.21967738236552847,0.22700738236552848
0.02595,-0.21967738236552847,0.24562738236552847
0.00302,-0.14943885050999484,0.15245885050999483
0.00806,-0.14943885050999484,0.15749885050999485
0.00386,-0.21504322869788695,0.21890322869788695
0.01034,-0.21504322869788695,0.22538322869788693
0.01034,-0.21504322869788695,0.22538322869788693
0.00769,-0.16228275000494996,0.16997275000494996
0.00382,-0.16228275000494996,0.16610275000494995
0.00796,-0.16228275000494996,0.17024275000494996
0.00943,-0.16228275000494996,0.17171275000494995
0.01752,-0.9010921265533369,0.9186121265533369
0.00257,-0.1116212434783439,0.1141912434783439
0.01431,-0.1116212434783439,0.1259312434783439
0.00683,-0.1116212434783439,0.1184512434783439
0.03061,-0.1683376333415163,0.1989476333415163
0.00172,0.22562251583926596,-0.22390251583926596
0.00727,0.22562251583926596,-0.21835251583926596
0.02172,-0.36449184671204904,0.38621184671204906
0.04845,-0.36449184671204904,0.41294184671204903
0.02092,-0.3979530733629666,0.4188730733629666
0.0106,-0.4332879280308308,0.4438879280308308
0.03831,-0.4332879280308308,0.47159792803083084
0.00975,-0.4332879280308308,0.4430379280308308
0.05702,-0.16833438179504645,0.22535438179504647
0.03827,-0.024883453157028335,0.06315345315702833
0.00795,-0.1739795276265106,0.1819295276265106
0.006,0.0018025416593880905,0.00419745834061191
0.07967,0.3043418794938546,-0.2246718794938546
0.01012,-0.027870761921320764,0.03799076192132077
0.01576,-0.23958253145352515,0.25534253145352515
0.07967,0.21830630500098236,-0.13863630500098234
0.0551,-0.0959670790075271,0.1510670790075271
0.0387,0.0744017126999914,-0.03570171269999141
0.0425,-0.22895338209049498,0.27145338209049497
0.11,0.2799502758453798,-0.1699502758453798
0.3,0.26340866144244757,0.03659133855755242
0.3,0.6413046057520049,-0.3413046057520049
0.55,0.46547675755171625,0.0845232424482838
0.4,0.7864968014843754,-0.3864968014843754
0.3,0.2137781698975303,0.0862218301024697
0.3,0.008073119315252342,0.29192688068474765
0.3,0.19179863811001496,0.10820136188998503
0.3,0.13121041670397915,0.16878958329602084
0.25,0.6986835226264105,-0.44868352262641054
0.4,0.4105520503329032,-0.010552050332903185
0.5567724999999999,0.1606866293571727,0.3960858706428272
0.35,0.008060289246600405,0.3419397107533996
0.5567724999999999,0.39464921772775696,0.16212328227224293
0.3,-0.058904476171960596,0.3589044761719606
0.5567724999999999,1.0613594820817411,-0.5045869820817412
0.19,0.24582652917172076,-0.05582652917172076
0.26,0.8732446225661192,-0.6132446225661192
0.24,0.3764409239732345,-0.13644092397323448
0.3,-0.16818619252046574,0.4681861925204657
